Timestamp,Entered by,Dataset name,Data owner,Category1,Category2,Category notes,Source of information,Source - weblink,Dataset content,Geographic coverage,Geographic units,Geography notes,Time period - from,Time period - to,Time - frequency,Time notes,Data type,Data type notes,Data quality,Data access,Data owner attitude to research use,Other notes
12/21/2015 16:27:35,Alice,Household Projections,Scottish Government ,1 - People,"1.1 - Demographics, social",,,"1996 - 2008 http://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/housholds/household-projections/archive
2008 onwards http://www.nrscotland.gov.uk/statistics-and-data/statistics/statistics-by-theme/housholds/household-projections","These data releases contain projections of the number of households in each local authority area, strategic development plan area and national park in Scotland, by household type and age group",6 - Scotland,Local authority,Data are also provided for strategic development plan areas and national park areas ,1996,2037,Other,"Statistics were produced biannually. Scottish Local authority area figures  are available from 1996-based figures to 2012-based figures . Projections for Strategic Development Plan and National Park area provided are 2008-based, 2010-based and 2012-based. ",Administrative,,"These statistics offer full coverage of the 32 local authorities of Scotland. As National Statistics, they can be considered good quality. ","Freely accessible data tables are provided for Scottish Local authority area figures  are available from 1996-based figures to 2012-based figures . Projections for Strategic Development Plan and National Park area provided are 2008-based, 2010-based and 2012-based. ",Government attitudes to research use of their data appear favourable. ,
1/8/2016 15:46:43,Nick,Household projections,NISRA,1 - People,"1.1 - Demographics, social",,,http://www.nisra.gov.uk/demography/default.asp21.htm ,"Projections of numbers of households, updated every two years. Datsa available broken down by household size and household composition.  More detail at LA level in terms of household composition than other national areas. ",7 - Northern Ireland,Local authority,,2002,On-going,Other,"2002, 2008 and 2012 based projections available",Other,Modelled estimates. ,Official statistics,Freely available on the web,Freely available,
12/14/2015 16:30:24,Alice,Households Below Average Income (HBAI),DWP,1 - People,"1.1 - Demographics, social",,,https://www.gov.uk/government/collections/households-below-average-income-hbai--2,"The dataset contains the number and percentage of people living in low-income households, and changes in income patterns over time. ",1 - UK,Regional,"Some early statistics given for GB. From 1997, data are given for the UK with some Northern Ireland figures imputed. The FRS (Family Resources Survey) is designed to produce robust estimates at the former government office region level. It should not be used at smaller geographies. ",1994,On-going,Annual,Time series data are published every year,Sample survey,Data are drawn from the Family Resources Survey,The FRS which this dataset is based on only covers private households in the UK so omits those in communal establishments as well as homeless. Its response rate was 60% in 2013/14. A detailed Methodology and Data Quality report is provided. ,Freely accessible data tables are provided with annual publications. ,Government attitudes to research use of their data appear favourable. ,
12/9/2015 15:18:00,Sarah,Labour Force Survey,ONS,1 - People,"1.1 - Demographics, social",Primary focus is labour market.,,https://discover.ukdataservice.ac.uk/series/?sn=2000026,"LFS is a household survey of the private resident population in the UK with the objective of understanding the UK labour market.  Each quarter's sample of 41,000 household/100,000 individuals is made up from 5 'waves' each consisting of approx 8000 households (so hhlds remain in LFS for 5 waves giving modest longitudinal element). Variables include: Family type and presence of children, People in families by family type and presence of children, families with dependent children, dependent children in families by family type, households by size, people living alone by age and sex, Households by type of household and family, People in households by type of household and family.",1 - UK,Regional,Individual data can be downloaded from UK Data Archive.,1992,On-going,Quarterly,"Quarterly Statistics available back to 1992, Annual statistics available for 1975-1991",Sample survey,,High quality Government survey,Via UK Data Service: Registration required and terms and conditions apply,,
12/16/2015 17:48:40,Sarah,Livings Costs and Food Survey ,ONS,1 - People,"1.1 - Demographics, social",Expenditure,,"http://www.ons.gov.uk/ons/guide-method/method-quality/specific/social-and-welfare-methodology/living-costs-and-food-survey/index.html
https://discover.ukdataservice.ac.uk/series/?sn=2000028","4,761 households in GB co-operated fully in the survey in 2013.  The response rate in GB in 2013 was 48%, a decrease from 52% in 2012.  The response rate for NI was 61% in 2013, a decrease from 67% in 2012.  
Individuals keep diary records of daily expenditure for two weeks. Children aged 7-15 asked to keep simplified diaries. The questionnaire covers a wide range of topics but data relevant to housing includes household composition, tenure, housing benefit, amenties (eg central heating), income and employment.  Main results from the survey are published by ONS in the annual report Family Spending.",1 - UK,Regional,,1957,On-going,Annual,"From 1957 to March 2001, the Family Expenditure Survey (FES) and National Food Survey (NFS) provided information on household expenditure patterns and food consumption.  From April 2001 to 2008, these survey were combined to form the Expenditure and Food Survey. Living Cost and Food Survey replaced the Expenditure and Food Survey in 2008. ",Sample survey,"LCF sample for Great Britain is a multi-stage stratified random sample with clustering. It is drawn from the Small Users file of the Postcode Address File (PAF) ? the Post Office?s list
of addresses.",Sampling variability,Free to download from the ONS and UK Data Service websites. When via UK Data Service: Registration required and terms and conditions apply,Supportive of academic research ,"The survey is used to inform the retail prices index, national estimates of household final consumption expenditure, regional accounts and the statistical office of the European Union."
12/15/2015 17:22:29,Sarah,Low Pay (Annual Survey of Hours and Earnings (ASHE)),ONS,1 - People,"1.1 - Demographics, social","Primarily concerns earnings and hours so broader than cost, price and rent ",,http://www.ons.gov.uk/ons/rel/ashe/low-pay/index.html,"1% sample of employee jobs taken from HM Revenue & Customs (HMRC) Pay As You Earn (PAYE) records. ASHE does not cover the self-employed nor does it cover employees not paid during the reference period. In 2015 information related to the pay period.  Sample size: 180,000 employee jobs",1 - UK,Local authority,"Government office regions including Northern Ireland, Scotland and Wales and parliamentary constituency ",1998,On-going,Annual,The ASHE replaced the New Earnings Survey (NES) which was administered by the ONS since the 1970s.,Sample survey,"Estimates on the levels and distribution of earnings and hours for employees in the UK. Estimates are available for a variety of breakdowns by age groups, gender,  industry, occupation, public/private sectors and a range of geographies. ASHE also provides estimates for employee earnings by gender and full-time/part-time workers.","Primary weaknesses identified by ONS include: lack of personal demographic data, timing and periodicity, no coverage of self employed and quality of estimates and low levels of disaggregation can be poor. ",Free to download from the ONS,,
12/10/2015 9:49:53,Alice,Scottish Continuous Recording System (SCORE),Scottish Government,1 - People,"1.1 - Demographics, social","The SCORE dataset records property type and condition, rent and affordability measures in addition to demographic information about tenants. ",,http://www.gov.scot/Topics/Statistics/Browse/Housing-Regeneration/SCORE,"SCORE collects information from Registered Social Landlords (RSLs) about the new lets that they make in any given year. Information includes: demographic information or tenant households;  their pathway to becoming a tenant; the financial profile of tenant households; the type and condition of the property being let; and the financial aspects of the let being made, including rent and affordability. It contains c. 20000 new lets each year",6 - Scotland,Local authority,"SCORE collects data at the individual RSL level, however, annual reports and the data tables released with them are aggregated to at least the local authority level. Some measures are given for Scotland as a whole.  ",2007,Mar 2015,Annual,SCORE was discontinued in Mar 2015,Administrative,SCORE is a voluntary survey of all RSLs requesting information on characteristics of all their new lets,"- According to the Scottish Government, SCORE has only approx.78% coverage of new RSL lets due to its voluntary status. It is suggested that there are ?particular gaps in Glasgow RSLs, meaning that overall results are not fully representative of the sector?.
- It is noted that many responses to the survey are incomplete and, in some instances, the effective response rate has dropped as low as 35%, potentially creating bias. 
- The robustness of results, particularly those related to household income, has been questioned due to the basic recording of this data within RSLs and limited triangulation. 
- It only contains data relating to new lets so it cannot be assumed to be a valid proxy for the whole RSL sector. Furthermore, RSLs represent less than half of the social rented sector and, as no comparable data is available for LA new lets, no understanding of its representativeness for the whole sector can be gleaned.",Some data tables are published with the annual reports and are thus freely available through the Scottish Government website. Additional data would also be available through application and agreement with government. The smallest scale of data that could be obtained is not clear. ,"The website suggests a favourable attitude  to access for research purposes. The access request form does, however, require clarity regarding any data linkage that researchers are looking to carry out. ",
2/16/2016 11:49:51,Kristine ,Scottish Survey Core Questions ,Scottish Government ,1 - People,"1.1 - Demographics, social","Could also be classed as Attitude, preference. Scottish Survey Core Questions provide information on the composition, characteristics and attitudes of Scottish households and adults across a number of topic areas including equality characteristics, housing, employment and perceptions of health and crime",,http://www.gov.scot/Topics/Statistics/About/Surveys/SSCQ,"The Scottish Surveys Core Questions gathers survey responses from identical questions in the Scottish Crime and Justice Survey, the Scottish Health Survey and the Scottish Household Survey into one output. The pooling of Core Questions results in an annual sample of around 21,000 respondents",6 - Scotland,Local authority,,2012,On-going,Annual,,Sample survey ,"Responses are gathered from identical questions in the Scottish Crime and Justice Survey, the Scottish Health Survey and the Scottish Household Survey into one output.",Technical information available from the Scottish Government webpage,Freely accessible data tables are provided via the Scottish Government website. ,Government attitudes to research use of their data appear favourable. ,
12/12/2015 16:30:14,Alice,Traveller caravan count,DCLG,1 - People,"1.1 - Demographics, social",,,"https://www.gov.uk/government/collections/traveller-caravan-count
http://webarchive.nationalarchives.gov.uk/20120919132719/http://www.communities.gov.uk/housing/housingresearch/housingstatistics/housingstatisticsby/caravancount",This dataset contains a statistical count of the number of caravans on both authorised and unauthorised sites across England. The count takes place every January and July.,4 - England,Local authority,,2009,On-going,Other,Data are collected bi-annually,Administrative,,,Tables for 2010-2015 data are available via the DCLG website. Data from 2009 can be obtained from the National Archive. The name of the dataset changed in July 2013 from the Gypsy and Traveller caravan count. This did not affect the content of the dataset.,Government attitudes to research use of their data appear favourable,
12/8/2015 11:57:23,Sarah,Understanding Society (prev. British Household Panel Survey) ,UK Data Service,1 - People,"1.1 - Demographics, social",,,https://discover.ukdataservice.ac.uk/series/?sn=200005,"USoc interviews c.40,000 households/100,000 individuals annually. Content rotates. Variables include labour market, changes in families and households, wealth, well-being and socio-economic structure, resource distribution in the household. 'Gold-standard' longitudinal survey funded by ESCR. ",1 - UK,LSOA/Datazone,Version of dataset with LSOA/DZ identifier available under special licence.,1991,On-going,Annual,BHPS from 1991. USoc from 2010. BHPS sample continued.,Sample survey,Longitudinal design.,High quality academic survey.,Via UK Data Service: Registration required and terms and conditions apply,Very supportive,
12/11/2015 20:16:14,Alice,Families in bed and breakfast accommodation for more than 6 weeks ,DCLG,1 - People,1.2 - Homelessness,,,https://www.gov.uk/government/statistical-data-sets/families-in-bed-and-breakfast-accommodation-for-more-than-6-weeks,This dataset contains quarterly information on the number of families for more than 6 weeks based on P1E returns ,4 - England,Local authority,,2007,2012,Quarterly,"This dataset is a supplementary dataset provided as a result of a freedom of information request. The time period for it is therefore limited. However, it may be possible to access this information for other years",Administrative,This dataset is drawn from P1E statistical returns,"All P1E returns submitted undergo thorough validation and crosschecking, and late returns are pursued to ensure overall response is as complete and accurate as possible. Anomalous data are highlighted and verified by contacting the local authority. The validation process typically takes around six weeks, after which estimates for missing data are calculated.","A freely available data table for this time span is available on the DCLG website. As this dataset is the result of an FOI request, it is likely possible to access data for additional years through similar means. ",Government attitudes to research use of their data appear favourable,
12/22/2015 11:05:19,Sarah,Homelessness,Welsh Government,1 - People,1.2 - Homelessness,,,http://gov.wales/statistics-and-research/homelessness/?tab=previous&lang=en,"Quarterly returns from local authorities. Number of households applying to local authorities for housing assistance 
Number of households in temporary accommodation 
(including accommodation type and household type -Post 2015-16)",5 - Wales,Local authority,,2004,On-going,Quarterly,"Information recorded about homelessness has changed in recent years, doe to the Housing Act (Wales) 2014 which included a number of changes to statutory homelessness legislation. These changes were introduced on 27 April 2015. ",Administrative,,"The data covers the age and sex of the applicant, not the age and sex of every person in the household.
Homelessness data may be subject to seasonal variations, 
All the figures are rounded independently to the nearest 5 to protect the identity of individuals. 
More data quality information provided on the Welsh Government's statistic webpages.",Data free to access from the Welsh Government website as PDF report and Excel spreadsheet,Appears favourable to the use of data for research ,
12/11/2015 19:54:21,Alice,Homelessness prevention and relief: England,DCLG,1 - People,1.2 - Homelessness,,,"https://www.gov.uk/government/statistical-data-sets/live-tables-on-homelessness
http://webarchive.nationalarchives.gov.uk/20120919132719/http://www.communities.gov.uk/publications/corporate/statistics/homelessnessprevention200809","This release presents official statistics on homelessness prevention and relief that took place outside the statutory homelessness framework. Under the Homelessness Act 2002, local housing authorities must have a strategy for preventing homelessness in their district. The strategy must apply to everyone at risk of homelessness, including cases where someone is found to be homeless but not in priority need and cases where someone is found to be intentionally homeless.",4 - England,Local authority,,2008,On-going,Annual,"In April 2008, the quarterly P1E form (which collects data on local authorities? actions under homelessness legislation) was expanded to include a new section on the homelessness prevention and relief taking place outside the statutory framework.Homelessness prevention and relief publications from 2008 are available via the national archive. ",Administrative,These data are taken from quarterly P1E statistical returns from local authorities ,"Data are reported via the quarterly P1E forms All P1E returns submitted  undergo thorough validation and cross-checking and late returns are pursued to ensure overall response is as complete and accurate as possible. Anomalous data are highlighted and verified by contacting the
local authority.The overall response rate for 2014/15 was 96.9%",Live tables are provided for this data on the DCLG website,Government attitudes to research use of their data appear favourable. ,
12/18/2015 19:32:28,Alice,Homelessness Reference Tables/Housing Options (PREVENT1) Statistics in Scotland ,Scottish Government,1 - People,1.2 - Homelessness,,,http://www.gov.scot/Topics/Statistics/Browse/Housing-Regeneration/RefTables,"The dataset provides information on the monitoring of the impact of housing options work, collected from the PREVENT1 return. This relates to  homelessness prevention approaches to local authorities and outcomes. It includes demographic data on applicants and vulnerabilities. Data is also provided on the number of prevention approaches which translate into homelessness applications ",6 - Scotland,Local authority,,2014,On-going,Other,Data are published on a financial year basis e.g. 2014-15. Statistics are produced bi-annually (i.e. 2014-15 & six-montly update). They are however considering moving the PREVENT1 statistical release to an annual format from summer 2016,Administrative,"These data are drawn from the PREVENT1 case level data collection to monitor housing options/ homelessness prevention in Scotland. One month after the end of each quarter, local authorities are asked to submit an XML file containing the information as set out in the data specification",These data are government administrative data. ,A freely accessible data table is provided via the Scottish Government website. ,"IT providers have been asked to implement the data specification as fully as possible in order to enhance the quality of the data. Local authorities may re-submit data to fix these errors or they can comment them to explain why they believe the data to be valid.  On submission of the data to the Scottish Government, each local authority is sent a detailed automatic report showing the contents of the data and any remaining errors. Specific data quality issues relating to individual councils are highlighted in the report which accompanies the dataset release, which contains a section on Data Quality. ",
12/18/2015 20:22:34,Alice,Homelessness Reference Tables/Operation of the Homeless Persons Legislation in Scotland,Scottish Government ,1 - People,1.2 - Homelessness,,,"http://www.gov.scot/Topics/Statistics/Browse/Housing-Regeneration/RefTables
http://www.gov.scot/Topics/Statistics/Browse/Housing-Regeneration/PubHomeless","This statistics bulletin provides information on homelessness applications, assessments and outcomes. It includes information on the
characteristics of applicant households, local authority assessments and the action taken in respect of cases that were concluded. Snapshot data on households in temporary accommodation are also presented, together with data on the implementation of the Homeless Persons (Unsuitable Accommodation) (Scotland) Order 2014",6 - Scotland,Local authority,,1989,On-going,Quarterly,These statistics are provided as quarterly updates but no quarterly figures are released for Jan-Mar when annual figures are released. Figures for households in temporary accommodation used to be released as a separate dataset. These were incorporated into this data release in 2006. Separate datasets for households in temporary accommodation are available from 2002. They are considering altering the frequency of this release to either biannual or annual in order to free up resources. ,Administrative,These data are administrative data collected on HL1 and HL2 returns,"As local authority administrative data, it provides coverage of all 32 local authorities in Scotland. Some data quality issues are highlighted. Given the continuous nature of the recording system, figures are updated on an on-going basis and may differ from those previously published. Additional points of note, relating to, for instance, changes in data collection are detailed in a 'General notes and missing data' section' in the report accompanying the statistical release. ",Freely accessible datasets are provided via the Scottish Government website. For the most part these relate to individual years however time series datasets are provided for 1989/90-1999/00. Households in temporary accommodation data is available in from 2002,Government attitudes to research use of their data appear favourable. ,
